CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
10183	10593	7	0.8933	-67.987
7990	10009	7	0.8597	-351.890
10405	10440	7	0.848	-67.988
10049	10703	7	0.9137	67.987
11638	11646	7	0.9144	407.924
9069	10592	7	0.8697	0.000
11555	11564	7	0.9357	-67.987
11587	11593	7	0.9213	-135.975
11565	11583	7	0.875	-203.962
10593	11545	7	0.9082	-67.987
9483	10183	7	0.8814	67.987
10581	11075	7	0.8865	0.000
11593	11594	7	0.909	-135.975
10366	11551	7	0.911	-135.975
11632	11637	7	0.9182	67.989
9835	10060	7	0.7239	0.000
11150	11564	7	0.9049	-67.987
10440	11188	7	0.8486	67.988
9101	10495	7	0.8587	67.987
10060	11559	7	0.7186	-67.987
10183	11541	7	0.9173	-67.987
10593	11237	7	0.9089	0.000
11564	11565	7	0.9146	-67.988
11075	11551	7	0.9037	203.962
11075	11565	7	0.8854	-0.000
11150	11555	7	0.9236	0.000
10049	10593	7	0.9301	0.000
10703	11185	7	0.9489	0.000
10049	10366	7	0.9412	0.000
10581	11564	7	0.901	67.988
9063	10366	7	0.914	0.000
10671	11150	7	0.8857	67.987
9706	11150	7	0.8823	0.000
9833	11565	7	0.8513	67.987
11625	11653	7	0.8993	-271.951
11632	11646	7	0.9486	135.975
9069	11187	7	0.8663	0.000
10072	11187	7	0.8772	-351.890
9624	11570	7	0.8432	-1.997
10452	11605	7	0.8519	-203.962
11480	11492	7	0.79	-203.962
10671	11564	7	0.901	0.000
8260	8799	7	0.7456	0.000
9069	11551	7	0.9061	419.877
10108	10789	7	0.8526	0.000
9101	9221	7	0.8649	-67.987
11564	11576	7	0.9372	-135.975
9768	11187	7	0.8538	-283.903
11593	11596	7	0.9173	-67.988
11548	11570	7	0.8276	-271.950
9839	10576	7	0.849	0.000
10671	11499	7	0.8696	-57.959
9645	11075	7	0.8732	67.987
10183	11533	7	0.927	0.000
10072	10671	7	0.8653	-67.987
9692	10009	7	0.8642	-487.865
11044	11555	7	0.9185	0.000
11545	11548	7	0.9139	-1.997
10405	11044	7	0.9023	67.987
10985	11596	7	0.8413	-203.963
11541	11551	7	0.9407	-135.975
10495	11551	7	0.9118	0.000
11587	11596	7	0.9004	-203.963
11075	11583	7	0.8639	-203.962
11625	11638	7	0.8764	-475.913
10703	11482	7	0.8706	-57.959
10592	11044	7	0.8827	351.890
9567	11482	7	0.848	-0.000
11564	11582	7	0.9251	-203.962
11632	11638	7	0.8997	-271.949
9069	10495	7	0.8625	419.877
11622	11637	7	0.8979	-203.961
11565	11576	7	0.9177	-67.987
11582	11583	7	0.9398	-67.987
10009	11187	7	0.8693	0.000
11594	11622	7	0.8865	-429.906
