"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2","Compound1_LibraryID","Compound1_MQScore","Compound1_MS2 Verification Comment","Compound1_RTConsensus","Compound1_RTMean","Compound1_RTStdErr","Compound1_Smiles","Compound1_SpectrumID","Compound1_SumPeakIntensity","Compound1_UniqueFileSourcesCount","Compound1_cluster index","Compound1_componentindex","Compound1_neutral M mass","Compound1_number of spectra","Compound1_parent mass","Compound1_precursor charge","Compound1_precursor mass","Compound1_sum(precursor intensity)","Compound2_LibraryID","Compound2_MQScore","Compound2_MS2 Verification Comment","Compound2_RTConsensus","Compound2_RTMean","Compound2_RTStdErr","Compound2_Smiles","Compound2_SpectrumID","Compound2_SumPeakIntensity","Compound2_UniqueFileSourcesCount","Compound2_cluster index","Compound2_componentindex","Compound2_neutral M mass","Compound2_number of spectra","Compound2_parent mass","Compound2_precursor charge","Compound2_precursor mass","Compound2_sum(precursor intensity)"
1114,1714,318,0.8292,-14.016,0.480129980149551,0.510073840599942,0.237340580025106,0.368586600887622,0.480129980149551,0.510073840599942,0.237340580025106,0.368586600887622,1,"N/A","N/A",NA,2.1551,2.1551,0,"N/A","N/A",7684785.197,74,1114,318,NA,74,217.0969,1,217.0969,7684785.197,"N/A","N/A",NA,2.4833,2.4833,0,"N/A","N/A",1906954.959,74,1714,318,NA,74,231.1128,1,231.1128,1906954.959
72,783,163,0.8325,0,0.47652827565504,0.533894547876691,0.185098105290405,0.349154227729115,0.47652827565504,0.533894547876691,0.185098105290405,0.349154227729115,1,"N/A","N/A",NA,0.5213,0.5213,0,"N/A","N/A",3101586.39052,75,72,163,NA,75,181.0971,1,181.0971,3101586.39052,"N/A","N/A",NA,1.782,1.782,0,"N/A","N/A",29064179.98,74,783,163,NA,74,181.0971,1,181.0971,29064179.98
7980,8125,88,0.8068,-14.016,0.47024300498567,0.5007204697693,0.378310635997399,0.467243726820025,0.47024300498567,0.5007204697693,0.378310635997399,0.467243726820025,1,"Spectral Match to Palmitamide from NIST14","0.962375",NA,6.1597,6.1597,0,"CCCCCCCCCCCCCCCC(=O)N","CCMSLIB00003137100",21397094.783,80,7980,88,NA,80,256.2633,1,256.2633,21397094.783,"N/A","N/A",NA,6.1822,6.1822,0,"N/A","N/A",7647770.6158,80,8125,88,NA,80,270.279,1,270.279,7647770.6158
4994,5131,141,0.8652,-3.943,0.463579055483967,0.428380852832542,0.344622028620367,0.421434415513222,0.463579055483967,0.428380852832542,0.344622028620367,0.421434415513222,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"N/A","N/A",NA,5.2136,5.2136,0,"N/A","N/A",29839557.745,54,5131,141,NA,54,296.1333,1,296.1333,29839557.745
7980,8335,88,0.972,-14.016,0.46353923295717,0.38835610375075,0.353700057092708,0.459063296866925,0.46353923295717,0.38835610375075,0.353700057092708,0.459063296866925,1,"Spectral Match to Palmitamide from NIST14","0.962375",NA,6.1597,6.1597,0,"CCCCCCCCCCCCCCCC(=O)N","CCMSLIB00003137100",21397094.783,80,7980,88,NA,80,256.2633,1,256.2633,21397094.783,"N/A","N/A",NA,6.2462,6.2462,0,"N/A","N/A",9509179.9855,80,8335,88,NA,80,270.2789,1,270.2789,9509179.9855
4994,5126,141,0.9954,-1.946,0.46177556278139,0.420031195618074,0.342405103210051,0.419505431050913,0.46177556278139,0.420031195618074,0.342405103210051,0.419505431050913,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"Spectral Match to Paclobutrazol from NIST14","0.9412149999999999",NA,5.2121,5.2121,0,"CC(C)(C)[C@H]([C@@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O","CCMSLIB00003137437",94536543.6145,55,5126,141,NA,55,294.1365,1,294.1365,94536543.6145
1280,1415,201,0.7668,0,0.460496401788258,0.416254735216879,0.246898944585483,0.373831768744151,0.460496401788258,0.416254735216879,0.246898944585483,0.373831768744151,1,"N/A","N/A",NA,2.2547,2.2547,0,"N/A","N/A",1678325.31036,74,1280,201,NA,74,187.1226,1,187.1226,1678325.31036,"N/A","N/A",NA,2.3225,2.3225,0,"N/A","N/A",6022881.711,74,1415,201,NA,74,187.1226,1,187.1226,6022881.711
4994,5014,141,0.9896,-1.946,0.456391464228813,0.399678906157806,0.340791599505949,0.416246449140613,0.456391464228813,0.399678906157806,0.340791599505949,0.416246449140613,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"Spectral Match to Paclobutrazol from NIST14","0.951158",NA,5.1405,5.1405,0,"CC(C)(C)[C@H]([C@@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O","CCMSLIB00003137437",179978296.4345,55,5014,141,NA,55,294.1364,1,294.1364,179978296.4345
525,714,208,0.7101,0.018,0.456277553941114,0.429653532286942,0.296644353740209,0.40083296093305,0.456277553941114,0.429653532286942,0.296644353740209,0.40083296093305,1,"N/A","N/A",NA,1.5711,1.5711,0,"N/A","N/A",1125118.6687,74,525,208,NA,74,298.1339,1,298.1339,1125118.6687,"N/A","N/A",NA,1.6508,1.6508,0,"N/A","N/A",8378266.965,74,714,208,NA,74,298.1158,1,298.1158,8378266.965
2497,2774,2,0.7566,-14.016,0.449744470948237,0.487411239894608,0.347156252262066,0.410367388865321,0.449744470948237,0.487411239894608,0.347156252262066,0.410367388865321,1,"N/A","N/A",NA,2.9275,2.9275,0,"N/A","N/A",673421.45936,28,2497,2,NA,28,282.054,1,282.054,673421.45936,"N-Acetylsulfamethoxazole","0.96388",NA,3.0889,3.0889,0,"CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C","CCMSLIB00006126852",737799.4158,27,2774,2,NA,27,296.0699,1,296.0699,737799.4158
4994,5587,141,0.9496,-13.946,0.449591097714389,0.365236570148123,0.343218023613346,0.414588565550022,0.449591097714389,0.365236570148123,0.343218023613346,0.414588565550022,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"N/A","N/A",NA,5.3891,5.3891,0,"N/A","N/A",14153676.737,54,5587,141,NA,54,306.1365,1,306.1365,14153676.737
7711,8014,63,0.9849,-0.001,0.448735267359808,0.166734220543655,0.0668185458847417,0.300008288369979,0.448735267359808,0.166734220543655,0.0668185458847417,0.300008288369979,1,"N/A","N/A",NA,6.0897,6.0897,0,"N/A","N/A",146485214.475,48,7711,63,NA,48,1030.64,1,1030.64,146485214.475,"N/A","N/A",NA,6.1508,6.1508,0,"N/A","N/A",21516038.6177,48,8014,63,NA,48,1030.6406,1,1030.6406,21516038.6177
7947,8014,63,0.8984,14.015,0.448216028551196,0.265132696070427,0.0829028229206704,0.296787958560166,0.448216028551196,0.265132696070427,0.0829028229206704,0.296787958560166,1,"N/A","N/A",NA,6.2058,6.2058,0,"N/A","N/A",239310399.7357,56,7947,63,NA,56,1044.6557,1,1044.6557,239310399.7357,"N/A","N/A",NA,6.1508,6.1508,0,"N/A","N/A",21516038.6177,48,8014,63,NA,48,1030.6406,1,1030.6406,21516038.6177
