"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2"
5431,5489,95,0.9035,33.984,0.411907300338102,0.499199169886644,0.169923501515931,0.298048262241212,0.411907300338102,0.499199169886644,0.169923501515931,0.298048262241212,1
1758,2725,331,0.7323,15.995,0.395764180463476,0.280670072695603,0.243471471475935,0.337964624798674,0.395764180463476,0.280670072695603,0.243471471475935,0.337964624798674,1
179,783,163,0.724,-26.016,0.376102158044341,0.454146962645837,0.106490246500534,0.257377428058552,0.376102158044341,0.454146962645837,0.106490246500534,0.257377428058552,1
1192,1444,311,0.7971,0,0.371601617018056,0.2204715911995,0.350525073077586,0.364138872154154,0.371601617018056,0.2204715911995,0.350525073077586,0.364138872154154,1
525,585,208,0.7098,0.018,0.353574618975418,0.383047800658521,0.263937068055735,0.323060141183895,0.353574618975418,0.383047800658521,0.263937068055735,0.323060141183895,1
5211,6132,9,0.9664,-42.011,0.353295594963254,0.402077902781897,0.391504654687829,0.374156674548507,0.353295594963254,0.402077902781897,0.391504654687829,0.374156674548507,1
1263,1514,163,0.7277,0,0.345840614187666,0.168816316787392,0.256687383126059,0.312251376468529,0.345840614187666,0.168816316787392,0.256687383126059,0.312251376468529,1
191,5556,16,0.7418,-0.094,0.327216741999903,0.546783748476755,0.41134563930052,0.370114477590274,0.327216741999903,0.546783748476755,0.41134563930052,0.370114477590274,1
5211,5834,9,0.9615,30.01,0.325528828527739,0.455415573423312,0.387998016345748,0.358879572588801,0.325528828527739,0.455415573423312,0.387998016345748,0.358879572588801,1
7138,7550,18,0.84,-14.016,0.325213153332356,0.278196389203167,0.352996578526003,0.338287976006812,0.325213153332356,0.278196389203167,0.352996578526003,0.338287976006812,1
7281,7958,18,0.7859,14.014,0.32275856831603,0.401249822635416,0.410388863506352,0.366607516239201,0.32275856831603,0.401249822635416,0.410388863506352,0.366607516239201,1
3172,3448,69,0.8176,-99.069,0.32192985681974,0.175763776745751,0.327183637608581,0.325975575651549,0.32192985681974,0.175763776745751,0.327183637608581,0.325975575651549,1
