"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area"
61,179.0926506,0.5030221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
64,245.0954124,0.52070516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173294.6,73117.06,107118.5,3766,74559.234,56168.523,39515.625,3766,40212.027,54846.29,50340.758,3766,52213.004,68410.98,68092.71,51597.926,35272.36,57153.695,58235.875,67825.43,15515.949,45211.176,19731.477,43263.973,76708.1,63450.434,73982.305,71027.3,26323.795,33890.67,26685.61,29759.742,23509.477,32414.438,30443.559,43292.93,34425.598,51332.15,34075.53,33443.477
68,182.0290282,0.5240172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
72,181.097113,0.521332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120792.055,55444.434,81319.36,3766,54433.812,44507.16,33512.71,3766,28772.06,42237.44,38951.93,3766,37793.9,50114.707,53135.84,40590.188,27585.531,45418.645,46323.043,51684.332,14069.645,37822.133,16628.145,32494.002,58192.438,53200.41,56386.285,52428.34,22198.172,28377.783,21808.988,25955.826,18889.508,27175.607,26428.203,35945,31444.316,43916.453,31561.912,29938.547
75,157.0971637,0.5201967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
76,158.96134,0.5208432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
80,166.1029345,0.53251517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
81,160.075676,0.5218795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404429.66,250721.6,235702.03,3766,401620.97,286905.66,210562.9,3766,209269.45,312332.62,280762.88,3766,296115.56,593663.9,427649.62,313545,275894.34,523318.78,455202.53,567389.25,213120.95,427234.22,242058.36,354050.3,845985.06,954094.75,814353.56,775052,549419.3,700356.9,645107.75,533260.25,578616.5,765449.94,666837.3,865996.4,931383.94,1309049.9,1050392.2,717705.3
86,169.0971058,0.52534324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800889.44,592457.5,689135.6,4054.3687,665166.5,580351.9,450906.5,3766,469689.84,609720.94,557153.4,3766,586752.7,706034.3,706535.7,615655.2,517860.12,732600,722705.4,776639.7,378563.44,687120.8,436133.4,637458.6,861998.3,893395.44,886614.5,869086.94,647277.1,755674.9,690748.8,746114.56,665943.6,812156.3,804205.44,944350.4,890976.94,1347099.2,986138.44,891660.4
89,299.0614359,0.466213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
93,318.1844343,0.52788377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223605.94,97965.42,149369.58,3766,95765.99,66008.99,46292.85,3766,39513.543,59607.336,55041.586,3766,58331.066,76976.53,74873.24,56712.805,34989.203,58181.91,57982.47,69526.8,15495.768,41644.047,18469.883,41064.125,76023.586,67408.29,68499.69,68529.49,29051.9,37928.062,29134.365,35676.64,25433.947,33691.547,30924.4,46343.188,32669.13,37701.316,31603.72,30693.146
97,166.086256,0.52966285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394232.75,289555.22,315809.1,5476.0425,296522.6,284186.4,287232.12,3766,389492.38,371337.5,360704.12,3766,347616.44,528019.9,379042.6,392505.22,297196.9,504981.56,449591.38,386560.84,250059.12,352745.8,299348.28,290715.97,381406.53,383453.38,536466.56,431465.28,513239.78,791019.8,537559.06,646935.44,614734.56,761886.44,1031196.06,827783.3,1163812.1,2061367.5,1407056.8,1217158.5
98,228.1207957,0.5337635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
99,167.0815257,0.54872835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84819.91,99061.41,100402.67,3766,78358.96,98046.75,96414.84,3766,64049.72,98367.99,97393.97,3766,96275.4,103243.83,101809.055,103498.8,100183.39,98346.05,103041.32,103423.18,109248.27,110272.7,106105.086,104878.21,92430.43,96081.266,101069.875,106004.82,97215.67,102927.18,177891.75,116702.695,104176.64,109783.03,113578.164,111382.74,108515.78,173035.38,127010.75,118802.875
101,176.0930388,0.53081757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
102,235.1075619,0.5556984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45249.484,56992.246,62106.113,3766,64738.87,70182.05,68857.76,3766,69459.164,67185.516,68000.18,3766,66167.99,68756.766,71902.836,70654.75,72319.78,70623.81,74191.77,74365.61,83713.99,77916.04,77003.15,72133.695,68811.2,50947.348,73007.99,53991.457,65616.1,69137.84,72640.59,76892.39,70074.92,73565.48,78321.87,74674.54,71028.07,101051.484,79178.766,76417.89
103,205.009999,0.53891814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
107,173.0709568,0.54765636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42750.406,36802.137,44965.844,3766,50503.55,48274.496,44485.523,3766,44035.59,48655.24,48540.535,3766,49235.023,59154.113,52963.008,51695.207,45915.36,49854.242,52021.12,54761.19,39616.535,50852.66,43937.96,48952.16,57107.152,56525.48,63844.992,58145.883,56410.598,61963.402,61309.305,63563.098,59475.312,67513.76,64528.914,70179.55,69514.94,104194.55,73199.65,69603.6
