"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t0_Ec_1.mzML Peak area","t0_Ec_2.mzML Peak area","t0_Ec_3.mzML Peak area","t0_Ec_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t1_Ec_1.mzML Peak area","t1_Ec_2.mzML Peak area","t1_Ec_3.mzML Peak area","t1_Ec_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t2_Ec_1.mzML Peak area","t2_Ec_2.mzML Peak area","t2_Ec_3.mzML Peak area","t2_Ec_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t3_Ec_1.mzML Peak area","t3_Ec_2.mzML Peak area","t3_Ec_3.mzML Peak area","t3_Ec_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t4_Ec_1.mzML Peak area","t4_Ec_2.mzML Peak area","t4_Ec_3.mzML Peak area","t4_Ec_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t5_Ec_1.mzML Peak area","t5_Ec_2.mzML Peak area","t5_Ec_3.mzML Peak area","t5_Ec_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t6_Ec_1.mzML Peak area","t6_Ec_2.mzML Peak area","t6_Ec_3.mzML Peak area","t6_Ec_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t7_Ec_1.mzML Peak area","t7_Ec_2.mzML Peak area","t7_Ec_3.mzML Peak area","t7_Ec_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t8_Ec_1.mzML Peak area","t8_Ec_2.mzML Peak area","t8_Ec_3.mzML Peak area","t8_Ec_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area","t9_Ec_1.mzML Peak area","t9_Ec_2.mzML Peak area","t9_Ec_3.mzML Peak area","t9_Ec_C.mzML Peak area"
1372,228.1494669,2.2923672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,39911.824,47425.508,40587.13,38586.605,3766,3766,6869.115,10531.902,91425.56,94633.68,84505.53,74571.64,19745.127,35307.832,32891.848,38192.812,131358.27,128213.664,132979.27,99225.63
1373,200.1067776,2.3215973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
1375,277.1542432,2.3219707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447970.25,418822.94,479944.28,3766,524516.6,20252.215,20578.412,3766,504720.7,540257.06,541707.56,3766,541302.7,18147.074,20125.195,3766,574320.5,529038.3,20513.209,3766,22471.691,22679.72,23571.057,3766,19292.395,24866.982,21898.3,24064.402,311528.22,228824.38,20189.742,559523.5,532890.5,499466.66,20968.023,22594.557,494628.84,22616.025,18298.793,23101.416,18393.877,534470.7,538238.06,22941.67,605078,22841.662,24945.88,18969.404,22106.908,24397.89,26635.633,23520.15,22325.01,472264.8,495496.44,572584.75,21996.744,488805.28,524369.7,26202.377,410733.7,23260.967,24027.508,457042.88,21887.746,26221.336,26207.064,30270.143,27854.094,27594.895,581399,31060.965,28428.59,782446.1,33926.242,36500.418,32903.875,581940.3,35374,539594.2
1377,334.2221267,2.3195188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37287.3,70898.16,51797.984,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6360.5215,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
1378,266.120425,2.2970839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,59860.47,72066.52,73925.21,34130.164,3766,3766,3766,3766,128207.13,138522.56,128962.21,84765.6,3766,6562.288,5366.872,5737.645,168437.45,193133.7,196332.33,103017.12
1379,156.1019229,2.2883217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,27102.05,28920.62,3766,31040.127,40991.125,45644.934,3766,29982.852,34331.664,54857.57,3766,50250.203,34766.855,32304.71,3766,33095.53,29791.848,34262.543,3766,36502.01,33310.414,35276.06,3766,32944.47,68979,36221.81,31740.645,22589.268,20710.074,26910.312,31510.344,33367.7,61177.023,58623.742,32088.982,29949.438,33548.76,33912.734,36078.12,43377.047,36055.316,45465.844,52859.105,60998.234,37605.605,30990.525,36062.594,63507.94,60412.33,59092.8,34205.273,31392.549,28184.69,31002.68,36199.984,14865.45,19717.277,18641.709,13326.531,23941.732,9294.012,18988.42,20996.473,9200.775,10800.956,11848.958,12521.679,43155.54,47263.85,21132.703,25628.84,4542.1313,13737.344,10925.618,5256.148,13782.125,17524.291,14898.969,17400.709
1383,301.1179422,2.3057125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264752.4,228698.2,249658.92,3766,309964.62,306656.22,302649.06,3766,299734.97,255409.05,249526.83,3766,235047.9,238691.16,267282.88,3766,207815.14,238063.97,206725.23,3766,242460.6,224131.81,223325.2,3766,195479.42,186262.55,193237.4,182599.38,123248.71,89664.984,180317.56,190178.1,176330.27,173882.77,159589.39,172638.61,167585.27,169991.69,175853.3,154874.83,140564.44,142898.47,155964.27,157145.62,160859.86,157313.56,161317.67,152739.55,149892.88,144635.23,148713,165091.11,125975.5,172694.98,199353.75,177318.97,166826.44,172023.05,176492.98,197355.98,198218.62,184306.31,175816.88,187670.34,162930.23,164042.3,152384.61,160578.66,161841.67,164870.56,174646.7,160396.6,153867.84,211576.42,179123.84,167516.3,129075.234,128039.29,123629.24,125922.96
1384,256.1334181,2.3045354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
1385,280.0994475,2.3063204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9418.852,4610.731,10612.959,3766,10980.082,12834.255,9950.708,3766,8421.499,10383.058,11191.135,3766,10630.785,6779.039,8384.619,3766,10911.027,10085.438,9035.051,3766,7078.538,8062.404,8224.716,3766,8040.4062,10773.328,7429.753,9117.44,3823.4612,3766,3766,8552.884,8425.961,8066.21,7726.8706,6813.235,5602.5693,7100.787,5856.395,6663.6133,6038.911,5741.7236,3766,8779.223,6473.035,6709.6367,6542.757,6666.8403,7642.927,7831.4995,7052.2334,7285.1323,3766,7884.7944,8367.206,3766,7772.325,5303.043,8724.994,9852.826,8148.874,7737.07,3766,6329.3174,8740.605,9697.436,8904.484,8716.699,3766,4003.6003,6023.945,3766,10950.016,14833.866,9598.158,9909.133,3766,3766,3766,3766
1386,245.1643086,2.3075585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15604.027,12301.541,17031.688,3766,37671.605,35979.996,27406.375,3766,17102.682,19668.79,20822.93,3766,36745.65,41656.023,36766.645,3766,18354.633,17671.447,16798.648,3766,34039.21,43141.35,30835.676,3766,19759.84,27030.555,23798.4,31099.447,21744.5,13357.858,35622.4,35122.86,21608.6,22380.88,20080.89,27950.053,39847.09,41264.316,43237.02,50423.3,23533.906,23022.176,20457.129,21145.715,51024.027,38380.49,52917.434,50724.23,17610.547,16938.234,21141.943,16328.353,52548.44,37935.258,45305.844,42822.24,15105.798,23294.535,21810.887,26212.115,46117.617,40048.75,33968.715,37350.516,24245.646,25604.385,25549.088,28414.115,44694.33,51273.83,58579.11,47410.496,30771.447,46121.75,33198.418,45514.035,37964.703,32174.91,59020.9,45967.9
1388,364.2685289,2.307649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28908.623,31961.84,34434.625,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
